"ПАО ""АЭРОФЛОТ"""
Бухгалтерский баланс;2018;2017;2016;2015;2014
Переоценка имущества;"
- ";"
- ";"
- ";"
- ";"
- "
Расходы, относящиеся непосредственно на уменьшение капитала;"
- ";"
- ";"
- ";"
- ";"
- "
Уменьшение номинальной стоимости акций;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Уменьшение количества акций;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Реорганизация юридического лица;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Дивиденды;"
- ";"
- ";"
- ";"
- ";"
- "
Изменение добавочного капитала;"
- ";"
- ";"
- ";"
- ";"
- "
Изменение резервного капитала;"
- ";"
- ";"
- ";"
- ";"
- "
Величина капитала на 31 декабря отчетного года;"
1 110 616 000,00 ";"
1 110 616 000,00 ";"
1 110 616 000,00 ";"
1 110 616 000,00 ";"
1 110 616 000,00 "
3. Чистые активы
Чистые активы;"
60 615 220 000,00 ";"
79 130 392 000,00 ";"
80 391 454 000,00 ";"
49 754 749 000,00 ";"
63 542 534 000,00 "
Отчет о движении денежных средствДенежные потоки от текущих операций
Поступления – всего;"
666 234 085 000,00 ";"
570 463 524 000,00 ";"
550 686 494 000,00 ";"
438 137 586 000,00 ";"
333 028 068 000,00 "
От продажи продукции, товаров, работ и услуг ;"
605 462 063 000,00 ";"
516 451 863 000,00 ";"
485 415 314 000,00 ";"
414 912 491 000,00 ";"
317 158 448 000,00 "
Арендных платежей, лицензионных платежей, роялти, комиссионных и иных аналогичных платежей;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
От перепродажи финансовых вложений ;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Прочие поступления ;"
60 772 022 000,00 ";"
54 011 661 000,00 ";"
65 271 180 000,00 ";"
23 225 095 000,00 ";"
15 869 620 000,00 "
Платежи - всего;"
677 734 824 000,00 ";"
524 705 725 000,00 ";"
502 916 067 000,00 ";"
456 058 029 000,00 ";"
333 223 115 000,00 "
Поставщикам (подрядчикам) за сырье, материалы, работы, услуги;"
607 285 979 000,00 ";"
458 136 622 000,00 ";"
430 716 161 000,00 ";"
368 805 976 000,00 ";"
287 294 439 000,00 "
В связи с оплатой труда работников ;"
45 165 275 000,00 ";"
41 470 222 000,00 ";"
32 389 826 000,00 ";"
28 780 273 000,00  ";"
28 878 933 000,00 "
Процентов по долговым обязательствам;"
0,00 ";"
925 222 000,00 ";"
3 244 529 000,00 ";"
2 135 540 000,00 ";"
540 865 000,00 "
Налога на прибыль организаций;"
4 916 258 000,00 ";"
8 395 540 000,00 ";"
11 659 578 000,00 ";"
5 033 203 000,00 ";"
5 908 786 000,00 "
Прочие платежи ;"
6 668 161 000,00 ";"
3 836 525 000,00 ";"
15 495 446 000,00 ";"
43 069 629 000,00 ";"
2 832 923 000,00 "
Сальдо денежных потоков от текущих операций;"
-11 500 739 000,00 ";"
45 757 799 000,00 ";"
47 770 427 000,00 ";"
-17 920 443 000,00 ";"
-195 047 000,00 "
Денежные потоки от инвестиционных операций
Поступления – всего;"
3 035 830 000,00 ";"
5 595 263 000,00 ";"
781 538 000,00 ";"
1 340 693 000,00 ";"
1 191 373 000,00 "
От продажи внеоборотных активов (кроме финансовых вложений);"
39 983 000,00 ";"
82 120 000,00 ";"
49 066 000,00 ";"
329 886 000,00 ";"
33 963 000,00 "
От продажи акций других организаций (долей участия);"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
От возврата предоставленных займов, от продажи долговых ценных бумаг (прав требования денежных средств к другим лицам);"
457 773 000,00 ";"
1 280 524 000,00 ";"
30 000 000,00 ";"
0,00 ";"
0,00 "
Дивидендов, процентов по долговым финансовым вложениям и аналогичных поступлений от долевого участия в других организациях;"
2 538 074 000,00 ";"
4 232 619 000,00 ";"
662 750 000,00 ";"
652 944 000,00 ";"
259 060 000,00 "
Прочие поступления;"
0,00 ";"
0,00 ";"
39 722 000,00 ";"
357 863 000,00 ";"
898 350 000,00 "
Платежи – всего;"
2 831 060 000,00 ";"
6 751 647 000,00 ";"
9 031 455 000,00 ";"
16 586 633 000,00 ";"
6 689 921 000,00 "
В связи с приобретением, созданием, модернизацией, реконструкцией и подготовкой к использованию внеоборотных активов;"
2 831 060 000,00 ";"
5 190 344 000,00 ";"
4 865 517 000,00 ";"
3 171 499 000,00 ";"
1 877 442 000,00 "
В связи с приобретением акций других организаций (долей участия);"
0,00 ";"
1 561 303 000,00 ";"
0,00 ";"
0,00 ";"
2 473 970 000,00 "
В связи с приобретением долговых ценных бумаг (прав требования денежных средств к другим лицам), предоставление займов другим лицам;"
0,00 ";"
0,00 ";"
4 165 938 000,00 ";"
13 415 134 000,00 ";"
2 338 509 000,00 "
Процентов по долговым обязательствам, включаемым в стоимость инвестиционного актива;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Прочие платежи;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Сальдо денежных потоков от инвестиционных операций;"
204 770 000,00 ";"
 -1 156 384 000,00 ";"
-8 249 917 000,00 ";"
-15 245 940 000,00 ";"
-5 498 548 000,00 "
Денежные потоки от финансовых операций
Поступления – всего;"
16 344 000,00 ";"
16 527 000,00 ";"
23 002 526 000,00 ";"
72 380 793 000,00 ";"
13 961 287 000,00 "
Получение кредитов и займов;"
0,00 ";"
0,00 ";"
22 999 005 000,00 ";"
72 370 934 000,00 ";"
13 961 282 000,00 "
Денежных вкладов собственников (участников);"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
От выпуска акций, увеличения долей участия;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
От выпуска облигаций, векселей и других долговых ценных бумаг и др.;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Прочие поступления;"
16 344 000,00 ";"
16 527 000,00 ";"
3 521 000,00 ";"
9 859 000,00 ";"
5 000,00 "
Платежи – всего;"
14 110 415 000,00 ";"
36 507 941 000,00 ";"
63 055 419 000,00 ";"
34 607 020 000,00 ";"
6 197 107 000,00 "
Собственникам (участникам) в связи с выкупом у них акций (долей участия) организации или их выходом из состава участников;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
На уплату дивидендов и иных платежей по распределению прибыли в пользу собственников (участников);"
14 110 415 000,00 ";"
19 090 466 000,00 ";"
0,00 ";"
0,00 ";"
1 776 026 000,00 "
В связи с погашением (выкупом) векселей и других долговых ценных бумаг, возврат кредитов и займов;"
0,00 ";"
17 417 475 000,00 ";"
63 055 419 000,00 ";"
34 607 020 000,00 ";"
4 421 081 000,00 "
Прочие платежи ;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Сальдо денежных потоков от финансовых операций;"
-14 094 071 000,00 ";"
-36 491 414 000,00 ";"
-40 052 893 000,00 ";"
37 773 773 000,00 ";"
7 764 180 000,00 "
Сальдо денежных потоков за отчетный период;"
-25 390 040 000,00 ";"
8 110 001 000,00 ";"
-532 383 000,00 ";"
4 607 390 000,00 ";"
2 070 585 000,00 "
Величина влияния изменений курса иностранной валюты по отношению к рублю;"
1 167 375 000,00 ";"
-245 034 000,00 ";"
-2 184 692 000,00 ";"
1 514 630 000,00 ";"
5 138 006 000,00 "
Отчет о целевом использовании средств
Остаток средств на начало отчетного года;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Поступило средств
Вступительные взносы;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Членские взносы;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Целевые взносы;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Добровольные имущественные взносы и пожертвования;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Прибыль от предпринимательской деятельности организации;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Прочие;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Всего поступило средств;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Использовано средств
Расходы на целевые мероприятия;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Социальная и благотворительная помощь;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Проведение конференций, совещаний, семинаров и т.п.;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Иные мероприятия;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Расходы на содержание аппарата управления;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Расходы, связанные с оплатой труда (включая начисления);"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Выплаты, не связанные с оплатой труда;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Расходы на служебные командировки и деловые поездки;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Содержание помещений, зданий, автомобильного транспорта и иного имущества (кроме ремонта);"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Ремонт основных средств и иного имущества;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Прочие;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Приобретение основных средств, инвентаря и иного имущества;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Прочие;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Всего использовано средств;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
Остаток средств на конец отчетного года;"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 ";"
0,00 "
